prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
snomed_disease_code,276803003,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,372138000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,276870001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,408647009,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,408643008,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,89740008,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254626006,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,448993007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,24482001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254849005,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,2092003,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,372244006,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,72495009,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,55921005a,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,55921005,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,188717001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,253000007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,2142002,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254731001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254637007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,128922003,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,109989006,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,55921005b,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,399490008,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254900004,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,399068003,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,399730005,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254582000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,74364000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254632001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254633006,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,28899001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,402815007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254634000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254730000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,706970001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,255084004,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,444604002,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,447782002,,A 9-digit numerical code for the primary disease with which the participant,,,
stage_of_disease,Stage III,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IIIA,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IIIB,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IIIC,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IV,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IVA,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IVB,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,Stage IVC,,"Stage group determined from clinical information on the tumor (T), regional",,,
stage_of_disease,NA,,"Stage group determined from clinical information on the tumor (T), regional",,,
tumor_grade,Grade cannot be assessed,,A text term to express the degree of abnormality of cancer cells as a measure,,,
tumor_grade,Borderline malignancy,,A text term to express the degree of abnormality of cancer cells as a measure,,,
tumor_grade,Well Differentiated,,A text term to express the degree of abnormality of cancer cells as a measure,,,
tumor_grade,Moderately Differentiated,,A text term to express the degree of abnormality of cancer cells as a measure,,,
tumor_grade,Poorly Differentiated,,A text term to express the degree of abnormality of cancer cells as a measure,,,
tumor_grade,Undifferentiated grade,,A text term to express the degree of abnormality of cancer cells as a measure,,,
best_response_to_targeted_therapy,Complete Response,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Partial Response,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Less than partial response,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Stable Disease,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Progressive Disease,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Not Assessed,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Too Early,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Not Evaluable,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_targeted_therapy,Unknown,,The result of an evaluation to determine the most clinically favorable response to treatment.. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Complete Response,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Partial Response,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Less than partial response,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Stable Disease,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Progressive Disease,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Not Assessed,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Too Early,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Not Evaluable,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
best_response_to_non_targeted_therapy,Unknown,,The result of an evaluation to determine the most clinically favorable response to treatment. <br>CDE ID = 15179918,,,
surgical_procedure_therapeutic,Yes,,A response which indicates whether the administration of a therapeutic,,,
surgical_procedure_therapeutic,No,,A response which indicates whether the administration of a therapeutic,,,
best_response_to_radiotherapy,Complete Response,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Partial Response,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Less than partial response,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Stable Disease,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Progressive Disease,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Not Assessed,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Too Early,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Not Evaluable,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
best_response_to_radiotherapy,Unknown,,The result of an evaluation to determine the most clinically favorable response to treatment.  <br>CDE ID = 15179918,,,
survival_status,ALIVE,,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,DEAD,,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,UNKNOWN,,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,Alive with Disease,,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,Alive with No Evidence of Disease,,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,"Alive, Disease Status Unknown",,The participant's survival state as being living or deceased. <br>CDE,,,
survival_status,Dead,,The participant's survival state as being living or deceased. <br>CDE,,,
off_study,Yes,,A response that indicates whether or not an individual is receiving protocol,,,
off_study,No,,A response that indicates whether or not an individual is receiving protocol,,,
off_study,Unknown,,A response that indicates whether or not an individual is receiving protocol,,,
off_study_reason,ADVERSE EVENT,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,APPROVED DRUG AVAILABLE FOR INDICATION,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,COMPLETED,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,DEATH,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,DISEASE RELAPSE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,FAILURE TO MEET CONTINUATION CRITERIA,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,FAILURE TO MEET RANDOMIZATION CRITERIA,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,LACK OF EFFICACY,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,LOGISTICAL PROBLEM,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,LOST TO FOLLOW-UP,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,MET ELIGIBILITY CRITERIA BUT NOT NEEDED,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NEVER DOSED,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NO LONGER CLINICALLY BENEFITING,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NON-COMPLIANCE WITH NON-STUDY DEVICE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NON-COMPLIANCE WITH STUDY DEVICE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NON-COMPLIANCE WITH STUDY DRUG,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,NON-COMPLIANCE WITH STUDY SCHEDULE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,OTHER,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PARTNER PREGNANCY,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PHYSICIAN DECISION,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PREGNANCY,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PROGRESSIVE DISEASE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PROTOCOL DEVIATION,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PROTOCOL VIOLATION,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,PROTOCOL-SPECIFIED WITHDRAWAL CRITERION MET,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,RANDOMIZED BY MISTAKE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,RANDOMIZED BY MISTAKE WITH STUDY TREATMENT,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,RANDOMIZED BY MISTAKE WITHOUT STUDY TREATMENT,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,RECOVERY,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,REQUIRES PROHIBITED MEDICATION,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,SCREEN FAILURE,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,SCREENING NOT COMPLETED,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,SITE TERMINATED BY SPONSOR,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,SPONSOR REQUEST,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,STUDY TERMINATED BY SPONSOR,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,TECHNICAL PROBLEMS,,An explanation describing why an individual is no longer receiving protocol,,,
off_study_reason,WITHDRAWAL BY PARENT/GUARDIAN,,An explanation describing why an individual is no longer receiving protocol,,,
